project,method,label,rubric10_total,rubric10_max,rubric10_percentage,rubric20_total,rubric20_max,rubric20_percentage
CM4AI,claudecode_agent_core,2026-08-07_claude-opus-5-claudecode-generic-v3_rep3,36,50,72.0,61,88,69.31818181818183
VOICE,claudecode_agent,2026-07-31_claude-opus-5-api-generic_rep1,43,50,86.0,67,88,76.13636363636364
VOICE,claudecode_agent,2026-07-31_claude-opus-5-api-generic_rep3,43,50,86.0,65,88,73.86363636363636
VOICE,claudecode_agent,2026-08-07_claude-opus-5-claudecode-generic-v3_rep1,44,50,88.0,70,88,79.54545454545455
VOICE,claudecode_agent,2026-08-07_claude-opus-5-claudecode-generic-v3_rep2,45,50,90.0,67,88,76.13636363636364
VOICE,claudecode_agent,2026-08-07_claude-opus-5-claudecode-generic-v3_rep3,47,50,94.0,70,88,79.54545454545455
VOICE,claudecode_agent_core,2026-07-31_claude-opus-5-api-generic_rep1,39,50,78.0,65,88,73.86363636363636
VOICE,claudecode_agent_core,2026-07-31_claude-opus-5-api-generic_rep3,40,50,80.0,63,88,71.5909090909091
VOICE,claudecode_agent_core,2026-07-31_claude-opus-5-generic-v2_rep1,42,50,84.0,63,88,71.5909090909091
VOICE,claudecode_agent_core,2026-07-31_claude-opus-5-generic-v2_rep2,41,50,82.0,65,88,73.86363636363636
VOICE,claudecode_agent_core,2026-07-31_claude-opus-5-generic-v2_rep3,41,50,82.0,63,88,71.5909090909091
VOICE,claudecode_agent_core,2026-08-07_claude-opus-5-claudecode-generic-v3_rep1,40,50,80.0,68,88,77.27272727272727
VOICE,claudecode_agent_core,2026-08-07_claude-opus-5-claudecode-generic-v3_rep2,41,50,82.0,65,88,73.86363636363636
VOICE,claudecode_agent_core,2026-08-07_claude-opus-5-claudecode-generic-v3_rep3,41,50,82.0,66,88,75.0
VOICE_PEDIATRIC,claudecode_agent,2026-08-07_claude-opus-5-claudecode-generic-v3_rep1,45,50,90.0,62,88,70.45454545454545
VOICE_PEDIATRIC,claudecode_agent,2026-08-07_claude-opus-5-claudecode-generic-v3_rep2,44,50,88.0,59,88,67.04545454545455
VOICE_PEDIATRIC,claudecode_agent,2026-08-07_claude-opus-5-claudecode-generic-v3_rep3,47,50,94.0,62,88,70.45454545454545
VOICE_PEDIATRIC,claudecode_agent_core,2026-08-07_claude-opus-5-claudecode-generic-v3_rep1,40,50,80.0,58,88,65.9090909090909
VOICE_PEDIATRIC,claudecode_agent_core,2026-08-07_claude-opus-5-claudecode-generic-v3_rep2,38,50,76.0,55,88,62.5
VOICE_PEDIATRIC,claudecode_agent_core,2026-08-07_claude-opus-5-claudecode-generic-v3_rep3,42,50,84.0,58,88,65.9090909090909
