# d4d_module: D4D schema module containing this attribute
#
subject_id	subject_label	subject_category	d4d_module	predicate_id	object_id	object_label	mapping_justification	confidence	subject_source	object_source	subject_type	subject_multivalued	object_type	type_compatible	composition_path	structural_notes	warnings	d4d_module
d4d:SensitiveElement/name	name	SensitiveElement	D4D_Composition	skos:exactMatch	name	name	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from SensitiveElement		D4D_Composition
d4d:SensitiveElement/description	description	SensitiveElement	D4D_Composition	skos:exactMatch	description	description	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from SensitiveElement		D4D_Composition
d4d:DatasetRelationship/description	description	DatasetRelationship	D4D_Composition	skos:exactMatch	description	description	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from DatasetRelationship		D4D_Composition
d4d:DatasetRelationship/name	name	DatasetRelationship	D4D_Composition	skos:exactMatch	name	name	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from DatasetRelationship		D4D_Composition
d4d:InstanceAcquisition/name	name	InstanceAcquisition	D4D_Collection	skos:exactMatch	name	name	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from InstanceAcquisition		D4D_Collection
d4d:InstanceAcquisition/description	description	InstanceAcquisition	D4D_Collection	skos:exactMatch	description	description	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from InstanceAcquisition		D4D_Collection
d4d:CollectionMechanism/name	name	CollectionMechanism	D4D_Collection	skos:exactMatch	name	name	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from CollectionMechanism		D4D_Collection
d4d:CollectionMechanism/description	description	CollectionMechanism	D4D_Collection	skos:exactMatch	description	description	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from CollectionMechanism		D4D_Collection
d4d:DataCollector/name	name	DataCollector	D4D_Collection	skos:exactMatch	name	name	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from DataCollector		D4D_Collection
d4d:DataCollector/description	description	DataCollector	D4D_Collection	skos:exactMatch	description	description	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from DataCollector		D4D_Collection
