# SSSOM (Simple Standard for Sharing Ontology Mappings)
# Generated from D4D SKOS alignment
# Date: 2026-03-25T22:41:05.055671
# Subset: False
# Total mappings: 95
#
d4d_schema_path	subject_id	subject_label	predicate_id	rocrate_json_path	object_id	object_label	mapping_justification	confidence	comment	author_id	mapping_date	subject_source	object_source	mapping_set_id	mapping_set_version	in_rocrate_json	in_pydantic_model	in_interface_mapping
Dataset.data_protection_impacts	d4d:data_protection_impacts	Data Protection Impacts	skos:exactMatch	@graph[?@type='Dataset']['rai:dataSocialImpact']	rai:dataSocialImpact	dataSocialImpact	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-25	https://w3id.org/bridge2ai/data-sheets-schema/	http://mlcommons.org/croissant/RAI/	d4d-rocrate-alignment-v1	1.0	false	false	true
Dataset.future_use_impacts	d4d:future_use_impacts	Future Use Impacts	skos:exactMatch	@graph[?@type='Dataset']['rai:dataSocialImpact']	rai:dataSocialImpact	dataSocialImpact	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-25	https://w3id.org/bridge2ai/data-sheets-schema/	http://mlcommons.org/croissant/RAI/	d4d-rocrate-alignment-v1	1.0	false	false	true
Dataset.discouraged_uses	d4d:discouraged_uses	Discouraged Uses	skos:exactMatch	@graph[?@type='Dataset']['rai:prohibitedUses']	rai:prohibitedUses	prohibitedUses	semapv:ManualMappingCuration	1.0	Source: RO-Crate JSON + Pydantic	https://orcid.org/0000-0000-0000-0000	2026-03-25	https://w3id.org/bridge2ai/data-sheets-schema/	http://mlcommons.org/croissant/RAI/	d4d-rocrate-alignment-v1	1.0	true	true	true
Dataset.prohibited_uses	d4d:prohibited_uses	Prohibited Uses	skos:exactMatch	@graph[?@type='Dataset']['rai:prohibitedUses']	rai:prohibitedUses	prohibitedUses	semapv:ManualMappingCuration	1.0	Source: RO-Crate JSON + Pydantic	https://orcid.org/0000-0000-0000-0000	2026-03-25	https://w3id.org/bridge2ai/data-sheets-schema/	http://mlcommons.org/croissant/RAI/	d4d-rocrate-alignment-v1	1.0	true	true	true
Dataset.distribution_dates	d4d:distribution_dates	Distribution Dates	skos:exactMatch	@graph[?@type='Dataset']['dateCreated']	schema:dateCreated	dateCreated	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-25	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	false	false	true
Dataset.errata	d4d:errata	Errata	skos:exactMatch	@graph[?@type='Dataset']['correction']	schema:correction	correction	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-25	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	false	false	true
Dataset.ethical_reviews	d4d:ethical_reviews	Ethical Reviews	skos:exactMatch	@graph[?@type='Dataset']['rai:ethicalReview']	rai:ethicalReview	ethicalReview	semapv:ManualMappingCuration	1.0	Source: RO-Crate JSON + Pydantic	https://orcid.org/0000-0000-0000-0000	2026-03-25	https://w3id.org/bridge2ai/data-sheets-schema/	http://mlcommons.org/croissant/RAI/	d4d-rocrate-alignment-v1	1.0	true	true	true
Dataset.existing_uses	d4d:existing_uses	Existing Uses	skos:exactMatch	@graph[?@type='Dataset']['rai:dataUseCases']	rai:dataUseCases	dataUseCases	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-25	https://w3id.org/bridge2ai/data-sheets-schema/	http://mlcommons.org/croissant/RAI/	d4d-rocrate-alignment-v1	1.0	false	false	true
Dataset.intended_uses	d4d:intended_uses	Intended Uses	skos:exactMatch	@graph[?@type='Dataset']['rai:dataUseCases']	rai:dataUseCases	dataUseCases	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-25	https://w3id.org/bridge2ai/data-sheets-schema/	http://mlcommons.org/croissant/RAI/	d4d-rocrate-alignment-v1	1.0	false	false	true
Dataset.other_tasks	d4d:other_tasks	Other Tasks	skos:exactMatch	@graph[?@type='Dataset']['rai:dataUseCases']	rai:dataUseCases	dataUseCases	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-25	https://w3id.org/bridge2ai/data-sheets-schema/	http://mlcommons.org/croissant/RAI/	d4d-rocrate-alignment-v1	1.0	false	false	true
Dataset.tasks	d4d:tasks	Tasks	skos:exactMatch	@graph[?@type='Dataset']['rai:dataUseCases']	rai:dataUseCases	dataUseCases	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-25	https://w3id.org/bridge2ai/data-sheets-schema/	http://mlcommons.org/croissant/RAI/	d4d-rocrate-alignment-v1	1.0	false	false	true
Dataset.purposes	d4d:purposes	Purposes	skos:closeMatch	@graph[?@type='Dataset']['rai:dataUseCases']	rai:dataUseCases	dataUseCases	semapv:ManualMappingCuration	0.9	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-25	https://w3id.org/bridge2ai/data-sheets-schema/	http://mlcommons.org/croissant/RAI/	d4d-rocrate-alignment-v1	1.0	false	false	true
Dataset.known_biases	d4d:known_biases	Known Biases	skos:exactMatch	@graph[?@type='Dataset']['rai:dataBiases']	rai:dataBiases	dataBiases	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-25	https://w3id.org/bridge2ai/data-sheets-schema/	http://mlcommons.org/croissant/RAI/	d4d-rocrate-alignment-v1	1.0	false	false	true
Dataset.known_limitations	d4d:known_limitations	Known Limitations	skos:exactMatch	@graph[?@type='Dataset']['rai:dataLimitations']	rai:dataLimitations	dataLimitations	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-25	https://w3id.org/bridge2ai/data-sheets-schema/	http://mlcommons.org/croissant/RAI/	d4d-rocrate-alignment-v1	1.0	false	false	true
Dataset.imputation_protocols	d4d:imputation_protocols	Imputation Protocols	skos:exactMatch	@graph[?@type='Dataset']['rai:imputationProtocol']	rai:imputationProtocol	imputationProtocol	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-25	https://w3id.org/bridge2ai/data-sheets-schema/	http://mlcommons.org/croissant/RAI/	d4d-rocrate-alignment-v1	1.0	false	false	true
Dataset.missing_data_documentation	d4d:missing_data_documentation	Missing Data Documentation	skos:exactMatch	@graph[?@type='Dataset']['rai:dataCollectionMissingData']	rai:dataCollectionMissingData	dataCollectionMissingData	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-25	https://w3id.org/bridge2ai/data-sheets-schema/	http://mlcommons.org/croissant/RAI/	d4d-rocrate-alignment-v1	1.0	false	false	true
Dataset.raw_data_sources	d4d:raw_data_sources	Raw Data Sources	skos:exactMatch	@graph[?@type='Dataset']['rai:dataCollectionRawData']	rai:dataCollectionRawData	dataCollectionRawData	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-25	https://w3id.org/bridge2ai/data-sheets-schema/	http://mlcommons.org/croissant/RAI/	d4d-rocrate-alignment-v1	1.0	false	false	true
Dataset.raw_sources	d4d:raw_sources	Raw Sources	skos:exactMatch	@graph[?@type='Dataset']['rai:dataCollectionRawData']	rai:dataCollectionRawData	dataCollectionRawData	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-25	https://w3id.org/bridge2ai/data-sheets-schema/	http://mlcommons.org/croissant/RAI/	d4d-rocrate-alignment-v1	1.0	false	false	true
Dataset.updates	d4d:updates	Updates	skos:exactMatch	@graph[?@type='Dataset']['rai:dataReleaseMaintenancePlan']	rai:dataReleaseMaintenancePlan	dataReleaseMaintenancePlan	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-25	https://w3id.org/bridge2ai/data-sheets-schema/	http://mlcommons.org/croissant/RAI/	d4d-rocrate-alignment-v1	1.0	false	false	true
Dataset.human_subject_research	d4d:human_subject_research	Human Subject Research	skos:exactMatch	@graph[?@type='Dataset']['d4d:humanSubject']	d4d:humanSubject	humanSubject	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-25	https://w3id.org/bridge2ai/data-sheets-schema/	https://w3id.org/bridge2ai/data-sheets-schema/	d4d-rocrate-alignment-v1	1.0	false	false	true
Dataset.at_risk_populations	d4d:at_risk_populations	At Risk Populations	skos:exactMatch	@graph[?@type='Dataset']['d4d:atRiskPopulations']	d4d:atRiskPopulations	atRiskPopulations	semapv:ManualMappingCuration	1.0	Source: Pydantic	https://orcid.org/0000-0000-0000-0000	2026-03-25	https://w3id.org/bridge2ai/data-sheets-schema/	https://w3id.org/bridge2ai/data-sheets-schema/	d4d-rocrate-alignment-v1	1.0	false	true	false
Dataset.distribution_formats	d4d:distribution_formats	Distribution Formats	skos:exactMatch	@graph[?@type='Dataset']['evi:formats']	evi:formats	formats	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-25	https://w3id.org/bridge2ai/data-sheets-schema/	https://w3id.org/EVI#	d4d-rocrate-alignment-v1	1.0	false	false	true
Dataset.encoding	d4d:encoding	Encoding	skos:closeMatch	@graph[?@type='Dataset']['evi:formats']	evi:formats	formats	semapv:ManualMappingCuration	0.9	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-25	https://w3id.org/bridge2ai/data-sheets-schema/	https://w3id.org/EVI#	d4d-rocrate-alignment-v1	1.0	false	false	true
Dataset.funders	d4d:funders	Funders	skos:exactMatch	@graph[?@type='Dataset']['funder']	schema:funder	funder	semapv:ManualMappingCuration	1.0	Source: RO-Crate JSON + Pydantic	https://orcid.org/0000-0000-0000-0000	2026-03-25	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	true	true	true
Dataset.citation	d4d:citation	Citation	skos:exactMatch	@graph[?@type='Dataset']['citation']	schema:citation	citation	semapv:ManualMappingCuration	1.0	Source: RO-Crate JSON + Pydantic	https://orcid.org/0000-0000-0000-0000	2026-03-25	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	true	true	false
Dataset.format	d4d:format	Format	skos:exactMatch	@graph[?@type='Dataset']['encodingFormat']	schema:encodingFormat	encodingFormat	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-25	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	false	false	false
DatasetCollection.parent_datasets	d4d:parent_datasets	Parent Datasets	skos:exactMatch	@graph[?@type='Dataset']['isPartOf']	schema:isPartOf	isPartOf	semapv:ManualMappingCuration	1.0	Source: RO-Crate JSON + Pydantic	https://orcid.org/0000-0000-0000-0000	2026-03-25	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	true	true	true
DatasetCollection.related_datasets	d4d:related_datasets	Related Datasets	skos:exactMatch	@graph[?@type='Dataset']['isRelatedTo']	schema:isRelatedTo	isRelatedTo	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-25	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	false	false	true
Dataset.same_as	d4d:same_as	Same As	skos:exactMatch	@graph[?@type='Dataset']['sameAs']	schema:sameAs	sameAs	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-25	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	false	false	false
Dataset.variables	d4d:variables	Variables	skos:exactMatch	@graph[?@type='Dataset']['variableMeasured']	schema:variableMeasured	variableMeasured	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-25	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	false	false	true
Dataset.id	d4d:id	Id	skos:exactMatch	@graph[?@type='Dataset']['@id']	rdf:ID	ID	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-25	https://w3id.org/bridge2ai/data-sheets-schema/	unknown	d4d-rocrate-alignment-v1	1.0	false	false	false
Dataset.participant_compensation	d4d:participant_compensation	Participant Compensation	skos:exactMatch	@graph[?@type='Dataset']['d4d:participantCompensation']	d4d:participantCompensation	participantCompensation	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-25	https://w3id.org/bridge2ai/data-sheets-schema/	https://w3id.org/bridge2ai/data-sheets-schema/	d4d-rocrate-alignment-v1	1.0	false	false	false
Dataset.creators	d4d:creators	Creators	skos:closeMatch	@graph[?@type='Dataset']['author']	schema:author	author	semapv:ManualMappingCuration	0.9	Source: RO-Crate JSON + Pydantic	https://orcid.org/0000-0000-0000-0000	2026-03-25	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	true	true	true
Dataset.created_by	d4d:created_by	Created By	skos:closeMatch	@graph[?@type='Dataset']['creator']	schema:creator	creator	semapv:ManualMappingCuration	0.9	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-25	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	false	false	true
Dataset.modified_by	d4d:modified_by	Modified By	skos:closeMatch	@graph[?@type='Dataset']['contributor']	schema:contributor	contributor	semapv:ManualMappingCuration	0.9	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-25	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	false	false	true
Dataset.sensitive_elements	d4d:sensitive_elements	Sensitive Elements	skos:closeMatch	@graph[?@type='Dataset']['rai:personalSensitiveInformation']	rai:personalSensitiveInformation	personalSensitiveInformation	semapv:ManualMappingCuration	0.9	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-25	https://w3id.org/bridge2ai/data-sheets-schema/	http://mlcommons.org/croissant/RAI/	d4d-rocrate-alignment-v1	1.0	false	false	true
Dataset.cleaning_strategies	d4d:cleaning_strategies	Cleaning Strategies	skos:closeMatch	@graph[?@type='Dataset']['rai:dataManipulationProtocol']	rai:dataManipulationProtocol	dataManipulationProtocol	semapv:ManualMappingCuration	0.9	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-25	https://w3id.org/bridge2ai/data-sheets-schema/	http://mlcommons.org/croissant/RAI/	d4d-rocrate-alignment-v1	1.0	false	false	true
Dataset.preprocessing_strategies	d4d:preprocessing_strategies	Preprocessing Strategies	skos:closeMatch	@graph[?@type='Dataset']['rai:dataPreprocessingProtocol']	rai:dataPreprocessingProtocol	dataPreprocessingProtocol	semapv:ManualMappingCuration	0.9	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-25	https://w3id.org/bridge2ai/data-sheets-schema/	http://mlcommons.org/croissant/RAI/	d4d-rocrate-alignment-v1	1.0	false	false	true
Dataset.labeling_strategies	d4d:labeling_strategies	Labeling Strategies	skos:closeMatch	@graph[?@type='Dataset']['rai:dataAnnotationProtocol']	rai:dataAnnotationProtocol	dataAnnotationProtocol	semapv:ManualMappingCuration	0.9	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-25	https://w3id.org/bridge2ai/data-sheets-schema/	http://mlcommons.org/croissant/RAI/	d4d-rocrate-alignment-v1	1.0	false	false	true
